PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.157932,-0.913012,24.367979049682617,24.367979049682617,24.367979049682617,24.367979049682617,24.367979049682617,24.367979049682617,24.367979049682617,1.0,1.0,1.0,1.0,0.0
cosmo,178.400563,-0.911854,23.313562393188477,23.313562393188477,23.313562393188477,23.313562393188477,23.313562393188477,23.313562393188477,23.313562393188477,1.0,1.0,1.0,1.0,0.0
cosmo,178.223998,-0.911426,23.460559844970703,23.460559844970703,23.460559844970703,23.460559844970703,23.460559844970703,23.460559844970703,23.460559844970703,1.0,1.0,1.0,1.0,0.0
cosmo,178.366862,-0.911312,24.44268226623535,24.44268226623535,24.44268226623535,24.44268226623535,24.44268226623535,24.44268226623535,24.44268226623535,1.0,1.0,1.0,1.0,0.0
cosmo,178.28308,-0.910614,23.893312454223633,23.893312454223633,23.893312454223633,23.893312454223633,23.893312454223633,23.893312454223633,23.893312454223633,1.0,1.0,1.0,1.0,0.0
cosmo,178.382756,-0.910433,24.119325637817383,24.119325637817383,24.119325637817383,24.119325637817383,24.119325637817383,24.119325637817383,24.119325637817383,1.0,1.0,1.0,1.0,0.0
cosmo,178.284152,-0.909987,23.380046844482422,23.380046844482422,23.380046844482422,23.380046844482422,23.380046844482422,23.380046844482422,23.380046844482422,1.0,1.0,1.0,1.0,0.0
cosmo,178.493938,-0.909685,23.75638198852539,23.75638198852539,23.75638198852539,23.75638198852539,23.75638198852539,23.75638198852539,23.75638198852539,1.0,1.0,1.0,1.0,0.0
cosmo,178.470517,-0.909333,23.182634353637695,23.182634353637695,23.182634353637695,23.182634353637695,23.182634353637695,23.182634353637695,23.182634353637695,1.0,1.0,1.0,1.0,0.0
cosmo,178.273837,-0.909107,23.318119049072266,23.318119049072266,23.318119049072266,23.318119049072266,23.318119049072266,23.318119049072266,23.318119049072266,1.0,1.0,1.0,1.0,0.0
cosmo,178.058759,-0.908869,23.66411018371582,23.66411018371582,23.66411018371582,23.66411018371582,23.66411018371582,23.66411018371582,23.66411018371582,1.0,1.0,1.0,1.0,0.0
cosmo,178.158107,-0.908807,24.181013107299805,24.181013107299805,24.181013107299805,24.181013107299805,24.181013107299805,24.181013107299805,24.181013107299805,1.0,1.0,1.0,1.0,0.0
cosmo,178.462395,-0.908141,23.86831283569336,23.86831283569336,23.86831283569336,23.86831283569336,23.86831283569336,23.86831283569336,23.86831283569336,1.0,1.0,1.0,1.0,0.0
cosmo,178.060114,-0.908044,24.429903030395508,24.429903030395508,24.429903030395508,24.429903030395508,24.429903030395508,24.429903030395508,24.429903030395508,1.0,1.0,1.0,1.0,0.0
cosmo,178.125573,-0.907558,23.24510955810547,23.24510955810547,23.24510955810547,23.24510955810547,23.24510955810547,23.24510955810547,23.24510955810547,1.0,1.0,1.0,1.0,0.0
cosmo,178.079813,-0.907344,23.7827205657959,23.7827205657959,23.7827205657959,23.7827205657959,23.7827205657959,23.7827205657959,23.7827205657959,1.0,1.0,1.0,1.0,0.0
cosmo,178.443988,-0.907102,23.071609497070312,23.071609497070312,23.071609497070312,23.071609497070312,23.071609497070312,23.071609497070312,23.071609497070312,1.0,1.0,1.0,1.0,0.0
cosmo,178.37128,-0.906524,23.534568786621094,23.534568786621094,23.534568786621094,23.534568786621094,23.534568786621094,23.534568786621094,23.534568786621094,1.0,1.0,1.0,1.0,0.0
cosmo,178.189193,-0.90551,24.01703453063965,24.01703453063965,24.01703453063965,24.01703453063965,24.01703453063965,24.01703453063965,24.01703453063965,1.0,1.0,1.0,1.0,0.0
cosmo,178.192977,-0.905061,24.304826736450195,24.304826736450195,24.304826736450195,24.304826736450195,24.304826736450195,24.304826736450195,24.304826736450195,1.0,1.0,1.0,1.0,0.0
