wave skycount targetcount
3878.732477682028 2.1229574730601275e-06 1.520214662196887e-07
3879.6057369667706 2.1229858951573715e-06 1.5218886458664713e-07
3880.4788404162255 2.1230092071334787e-06 1.5235624810214772e-07
3881.3517880582012 2.1230273943524444e-06 1.525236161738474e-07
3882.2245799205025 2.1230404493742356e-06 1.5269096851092351e-07
3883.0972160309284 2.1230483914393405e-06 1.5285830595053352e-07
3883.969696417273 2.7930882249004295e-06 1.5302562719367978e-07
3884.8420211073258 2.123048860775247e-06 1.5319293302517105e-07
3885.7141901288715 2.1230414041923194e-06 1.5336022339352521e-07
3886.586203509689 2.139300082341042e-06 1.5352749785042955e-07
3887.458061277553 2.168516913586581e-06 1.5369475614425105e-07
3888.329763460233 2.1974165286107766e-06 1.5383538697424067e-07
3889.201310085494 2.2257372812868187e-06 1.5393225890193901e-07
3890.0727011810945 2.25409606802991e-06 1.5402909480836312e-07
3890.9439367747905 2.282492891558883e-06 1.5412589450515017e-07
3891.8150168943307 2.310927771023224e-06 1.5422265845057006e-07
3892.6859415674603 2.339400716247716e-06 1.5431938672343982e-07
3893.5567108219193 2.3679117302673213e-06 1.5441607914047416e-07
3894.4273246854423 2.3964608246814817e-06 1.545127358488139e-07
3895.297783185759 2.4250480032872054e-06 1.5460935669974048e-07
3896.1680863505944 2.4523864044864055e-06 1.5470594191045042e-07
3897.0382342076687 2.464589520137127e-06 1.5480249098794968e-07
3897.908226784697 2.476807634919879e-06 1.548990045365811e-07
3898.778064109389 2.4890407367051517e-06 1.5499548200830883e-07
3899.6477462094504 2.5012888469783502e-06 1.55091923937885e-07
3900.5172731125813 2.513279940934852e-06 1.5518217658753656e-07
3901.3866853878526 2.5250960121971517e-06 1.5526820149245423e-07
3902.2559851207934 2.5369247089991152e-06 1.5535418577781605e-07
3903.125172325972 2.548766058143018e-06 1.5544013035466097e-07
3903.994247017955 2.560616547890329e-06 1.5552591244865256e-07
3904.863209211306 2.572489241707406e-06 1.5561198816912825e-07
3905.7320589205888 4.019126395317446e-06 1.5569867763968663e-07
3906.6007961603627 2.598169514131908e-06 1.5578632762034796e-07
3907.4694209451873 2.6133367789148877e-06 1.5587498911690902e-07
3908.3379332896193 2.6284175023413025e-06 1.5596006785867794e-07
3909.206333208214 2.6434589820033545e-06 1.5604322660828018e-07
3910.074620715524 2.65862921930356e-06 1.561301545710644e-07
3910.942795826101 2.6738223631196286e-06 1.5621724312648291e-07
3911.8108585544937 2.688936761570197e-06 1.56301104438262e-07
