
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 29.183197 61.857986      1.0    1.0 
 29.460931 62.378313      1.0    1.0 
 29.467378 62.381878      1.0    1.0 
 29.150157 61.931129      1.0    1.0 
 30.159933 62.541424      1.0    1.0 
 29.786467 62.490308      1.0    1.0 
 29.138182 62.025811      1.0    1.0 
 29.140115 61.966468      1.0    1.0 
 29.185525 62.161093      1.0    1.0 
 30.198161  62.54456      2.0    1.0 
 29.198481 61.825772      8.0    1.0 
 30.518224 62.537635      1.0    1.0 
 29.137198 62.053298      1.0    1.0 
 29.133999 61.977487      1.0    1.0 
 29.130748 62.019623      1.0    1.0 
 29.198181 62.189661      1.0    1.0 
 29.461233 62.385986      1.0    1.0 
 29.147033 61.904411      1.0    1.0 
 29.171092 62.156116      1.0    1.0 
  29.17445 61.846231      1.0    1.0 
 29.138709 62.096509      1.0    1.0 
 29.193391 61.814799      1.0    1.0 
 29.212955 61.788121      1.0    1.0 
 30.219524 62.553539      1.0    1.0 
 29.563895 62.436694      1.0    1.0 
 29.421239 62.374879      1.0    1.0 
 29.125956  61.93154      1.0    1.0 
 29.272127  62.28164      1.0    1.0 
 29.124028 62.078748      1.0    1.0 
 29.125238 62.094937      1.0    1.0 
 29.255871  62.27561      1.0    1.0 
 29.792411 62.509581      1.0    1.0 
 30.031222  62.54829      1.0    1.0 
 29.696553 62.487202      1.0    1.0 
 30.438671 62.559224      1.0    1.0 
 29.586204 62.454194      1.0    1.0 
 30.553969 62.553092      1.0    1.0 
 30.366687 62.565754      1.0    1.0 
 29.498682 62.426616      1.0    1.0 
 30.069009 62.556798      1.0    1.0 
 29.188935 62.227068      1.0    1.0 
 30.471038 62.561637      1.0    1.0 
 29.224632  62.26356      1.0    1.0 
  29.30793 62.328277      1.0    1.0 
 29.881353 62.533759      1.0    1.0 
 29.189812 62.232428      1.0    1.0 
 29.982834 62.549913      1.0    1.0 
 29.087911 61.984048      1.0    1.0 
 29.570431 62.457093      1.0    1.0 
 29.514242 62.436418      1.0    1.0 
 30.536595 62.559388      1.0    1.0 
 29.382807  62.37699      1.0    1.0 
 29.134766 62.166376      1.0    1.0 
 30.006231 62.553841      1.0    1.0 
 29.084244 62.010162      1.0    1.0 
 29.085789 61.973798      1.0    1.0 
